Código,Organización SF
M25EKC787B,"WEEDS, Worldwide Education"
37CD8VU42G,"CEI, Comité Ecológico Integral"
BXV72628VX,Fundación México Incluyente
Z6392NAZVB,DIF Nuevo León
UXY32QG2F6,Proyecto 99
SJ2DD949SY,"Liderazgo y Cultura Emprendedora, A.C."
HE3D985SW3,"Best Buddies de México, A.C."
G37X4249MP,Iniciativa Campana Altamira
2699K7R5RJ,Dirección de Servicio Social - Aprendizaje para todos
8CT54H4FY6,"Un Techo para mi País, A.C."
A82XU86QR2,EduMakers - Tecnológico de Monterrey
76PBN4G77F,"CVA, Centro Virtual de Aprendizaje Tec de Monterrey"
9A823DM85G,Clínica Jurídica Penal de Tec de Monterrey
MRP359HNC7,Jurisdicción Sanitaria #4 de Nuevo León 
KP82P9U865,"AMMAC, Alianza de Ministerios de Misericordia, A.C."
WH7CUF47DD,"Redes Quinto Poder IDEA, A.C."
N2N5X2G7B7,"Cambiando México con Valores, A.C."
7D3XU87243,TECHO: Comunicación de historias y estrategia de sotenimiento
FK2E9BA254,Sistema web de calidad de aire
